af	tool	tp	fp	fn	precision	recall	f1	mean_delta_af
0.01	gxy	10	0	8	1.0000	0.5556	0.7143	0.0033
0.01	upstream	10	0	8	1.0000	0.5556	0.7143	0.0033
0.025	gxy	18	0	0	1.0000	1.0000	1.0000	0.0045
0.025	upstream	18	0	0	1.0000	1.0000	1.0000	0.0045
0.05	gxy	18	0	0	1.0000	1.0000	1.0000	0.0083
0.05	upstream	18	0	0	1.0000	1.0000	1.0000	0.0083
0.10	gxy	18	0	0	1.0000	1.0000	1.0000	0.0078
0.10	upstream	18	0	0	1.0000	1.0000	1.0000	0.0078
0.25	gxy	18	0	0	1.0000	1.0000	1.0000	0.0105
0.25	upstream	18	0	0	1.0000	1.0000	1.0000	0.0105
0.50	gxy	18	0	0	1.0000	1.0000	1.0000	0.0104
0.50	upstream	18	0	0	1.0000	1.0000	1.0000	0.0104
